indi,region,gbm_tc,gbm_nminobs,gbm_ntrees,gbm_lr,gbm_bf,gbm_cv,date_added
ors,dia_afr_horn,4,11,5329,0.026709803,0.5,3,20190917
ors,dia_central_asia,4,7,3255,0.015499041,0.5,3,20190917
ors,dia_cssa-cod,4,11,448,0.068442503,0.5,3,20190917
ors,dia_essa-zwe-ken,4,8,4113,0.011970766,0.5,3,20190917
ors,dia_malay,4,12,753,0.025928993,0.5,3,20190917
ors,dia_mcaca,4,11,964,0.008339688,0.5,3,20190917
ors,dia_mid_east,4,11,879,0.036322536,0.5,3,20190917
ors,dia_name,4,13,540,0.031413636,0.5,3,20190917
ors,dia_s_america-bra,4,14,728,0.091593643,0.5,3,20190917
ors,dia_se_asia,4,13,571,0.04067531,0.5,3,20190917
ors,dia_south_asia-ind-pak,4,11,348,0.016807511,0.5,3,20190917
ors,dia_sssa,4,12,482,0.017934214,0.5,3,20190917
ors,dia_wssa-nga,4,10,4254,0.035057261,0.5,3,20190917
ors,IND,4,12,121,0.043621853,0.5,3,20190917
ors,KEN,4,13,336,0.010237713,0.5,3,20190917
ors,MNG,4,11,1542,0.043698379,0.5,3,20190917
ors,NGA,4,9,627,0.036555368,0.5,3,20190917
ors,PAK,4,12,379,0.04923913,0.5,3,20190917
ors,ZWE,4,11,191,0.043912303,0.5,3,20190917
ors,dia_s_america-bra-bol-pry,4,14,728,0.091593643,0.5,3,20191001
ors,PRY,4,14,728,0.091593643,0.5,3,20191001
ors,BOL,4,14,728,0.091593643,0.5,3,20191001
ors,dia_s_america-col-sur-guy,4,14,728,0.091593643,0.5,3,20191001
ors,col+sur+guy,4,14,728,0.091593643,0.5,3,20191001
ors,dia_cssa+tcd+cmr,4,11,448,0.068442503,0.5,3,20191001
ors,dia_wssa-tcd-cmr,4,10,4254,0.035057261,0.5,3,20191001
ors,tcd+cmr+nga+ner,4,10,4254,0.035057261,0.5,3,20191001
ors,dia_wssa-tcd-cmr-nga-ner,4,10,4254,0.035057261,0.5,3,20191001
rhf,dia_s_america-bra-bol-pry,4,14,732,0.12409119,0.5,3,20191001
rhf,PRY,4,14,732,0.12409119,0.5,3,20191001
rhf,BOL,4,14,732,0.12409119,0.5,3,20191001
rhf,dia_s_america-col-sur-guy,4,14,732,0.12409119,0.5,3,20191001
rhf,col+sur+guy,4,14,732,0.12409119,0.5,3,20191001
rhf,dia_cssa+tcd+cmr,4,10,1499,0.022010992,0.5,3,20191001
rhf,dia_wssa-tcd-cmr,4,12,1971,0.058439768,0.5,3,20191001
rhf,tcd+cmr+nga+ner,4,12,1971,0.058439768,0.5,3,20191001
rhf,dia_wssa-tcd-cmr-nga-ner,4,12,1971,0.058439768,0.5,3,20191001
ors_or_rhf,dia_s_america-bra-bol-pry,4,14,475,0.10362194,0.5,3,20191001
ors_or_rhf,PRY,4,14,475,0.10362194,0.5,3,20191001
ors_or_rhf,BOL,4,14,475,0.10362194,0.5,3,20191001
ors_or_rhf,dia_s_america-col-sur-guy,4,14,475,0.10362194,0.5,3,20191001
ors_or_rhf,col+sur+guy,4,14,475,0.10362194,0.5,3,20191001
ors_or_rhf,dia_cssa+tcd+cmr,4,13,619,0.037646693,0.5,3,20191001
ors_or_rhf,dia_wssa-tcd-cmr,4,12,1605,0.046550567,0.5,3,20191001
ors_or_rhf,tcd+cmr+nga+ner,4,12,1605,0.046550567,0.5,3,20191001
ors_or_rhf,dia_wssa-tcd-cmr-nga-ner,4,12,1605,0.046550567,0.5,3,20191001
rhf,dia_afr_horn,4,9,8000,0.021690467,0.5,3,20190917
rhf,dia_central_asia,4,11,2435,0.024595517,0.5,3,20190917
rhf,dia_cssa-cod,4,10,1499,0.022010992,0.5,3,20190917
rhf,dia_essa-zwe-ken,4,13,897,0.042934997,0.5,3,20190917
rhf,dia_malay,4,11,2882,0.01062685,0.5,3,20190917
rhf,dia_mcaca,4,11,604,0.024627755,0.5,3,20190917
rhf,dia_mid_east,4,12,391,0.029604345,0.5,3,20190917
rhf,dia_name,4,10,203,0.075693915,0.5,3,20190917
rhf,dia_s_america-bra,4,14,732,0.12409119,0.5,3,20190917
rhf,dia_se_asia,4,13,1258,0.017560687,0.5,3,20190917
rhf,dia_south_asia-ind-pak,3,11,217,0.065878525,0.5,3,20190917
rhf,dia_sssa,4,12,323,0.021699577,0.5,3,20190917
rhf,dia_wssa-nga,4,12,1971,0.058439768,0.5,3,20190917
rhf,IND,4,13,1617,0.008127387,0.5,3,20190917
rhf,KEN,4,13,405,0.016764197,0.5,3,20190917
rhf,MNG,4,10,11608,0.003180665,0.5,3,20190917
rhf,NGA,4,9,913,0.017789387,0.5,3,20190917
rhf,PAK,4,12,331,0.023673749,0.5,3,20190917
rhf,ZWE,4,12,237,0.026182551,0.5,3,20190917
ors_or_rhf,dia_afr_horn,4,12,984,0.050995214,0.5,3,20190917
ors_or_rhf,dia_central_asia,4,11,2140,0.03477548,0.5,3,20190917
ors_or_rhf,dia_cssa-cod,4,13,619,0.037646693,0.5,3,20190917
ors_or_rhf,dia_essa-zwe-ken,4,12,3842,0.011273116,0.5,3,20190917
ors_or_rhf,dia_malay,4,11,4982,0.001967354,0.5,3,20190917
ors_or_rhf,dia_mcaca,4,11,773,0.022631875,0.5,3,20190917
ors_or_rhf,dia_mid_east,4,11,398,0.073212031,0.5,3,20190917
ors_or_rhf,dia_name,4,13,1269,0.012022901,0.5,3,20190917
ors_or_rhf,dia_s_america-bra,4,14,475,0.10362194,0.5,3,20190917
ors_or_rhf,dia_se_asia,4,13,1335,0.014816653,0.5,3,20190917
ors_or_rhf,dia_south_asia-ind-pak,4,10,206,0.021792323,0.5,3,20190917
ors_or_rhf,dia_sssa,4,12,405,0.022778074,0.5,3,20190917
ors_or_rhf,dia_wssa-nga,4,12,1605,0.046550567,0.5,3,20190917
ors_or_rhf,IND,4,13,2568,0.003062883,0.5,3,20190917
ors_or_rhf,KEN,3,13,5748,0.001035385,0.5,3,20190917
ors_or_rhf,MNG,4,11,1097,0.035056468,0.5,3,20190917
ors_or_rhf,NGA,4,9,376,0.04029864,0.5,3,20190917
ors_or_rhf,PAK,4,12,497,0.024592366,0.5,3,20190917
ors_or_rhf,ZWE,3,12,308,0.031667049,0.5,3,20190917
any_ors,GIN,3,3,1998,0.00080907,0.5,3,20190917
any_ors,MLI,4,10,129,0.06546241,0.5,3,20190927
any_ors,BFA,4,10,6869,0.000533981,0.5,3,20190917
any_ors,LBR,4,11,337,0.013277149,0.5,3,20190917
any_ors,SEN,4,12,1189,0.008270939,0.5,3,20190917
any_ors,SLE,4,9,893,0.005989209,0.5,3,20190917
no_ort,GIN,2,1,221,0.030284155,0.5,3,20190917
no_ort,MLI,4,11,335,0.038937824,0.5,3,20190927
no_ort,BFA,3,1,721,0.01408323,0.5,3,20190917
no_ort,LBR,4,11,183,0.013055892,0.5,3,20190917
no_ort,SEN,4,12,400,0.020301563,0.5,3,20190917
no_ort,SLE,4,9,577,0.132657635,0.5,3,20190917
rhf_only,GIN,4,9,3174,0.00095022,0.5,3,20190917
rhf_only,MLI,4,11,395,0.020537242,0.5,3,20190927
rhf_only,BFA,4,10,256,0.02409887,0.5,3,20190917
rhf_only,LBR,4,11,137,0.016742512,0.5,3,20190917
rhf_only,SEN,4,12,747,0.010717045,0.5,3,20190917
rhf_only,SLE,4,9,2876,0.061242182,0.5,3,20190917
any_ors,sle+sen+mli,4,12,1091,0.031949077,0.5,3,20190919
rhf_only,sle+sen+mli,4,12,2727,0.01280931,0.5,3,20190919
no_ort,sle+sen+mli,4,12,947,0.043774297,0.5,3,20190919
ors,dia_wssa,4,10,4254,0.035057261,0.5,3,20191001
ors,dia_cssa,4,10,4254,0.035057261,0.5,3,20191001
ors_or_rhf,dia_wssa,4,12,1605,0.046550567,0.5,3,20191001
ors_or_rhf,dia_cssa,4,13,619,0.037646693,0.5,3,20191001
rhf,dia_wssa,4,12,1971,0.058439768,0.5,3,20191001
rhf,dia_cssa,4,10,1499,0.022010992,0.5,3,20191001
ors,COD,4,10,699,0.014685642,0.5,3,20191025
ors,dia_afr_horn-eth,4,11,657,0.095583127,0.5,3,20191025
ors,dia_s_america_n,4,12,989,0.076406334,0.5,3,20191025
ors,dia_s_america_s,4,11,1506,0.073384488,0.5,3,20191025
ors,dia_wssa_e,4,11,1390,0.037337046,0.5,3,20191025
ors,dia_wssa_w,4,11,1729,0.056232718,0.5,3,20191025
ors,ETH,4,10,2352,0.003283471,0.5,3,20191025
ors_or_rhf,COD,4,11,961,0.006952994,0.5,3,20191025
ors_or_rhf,dia_afr_horn-eth,4,14,1785,0.019907707,0.5,3,20191025
ors_or_rhf,dia_s_america_n,4,12,252,0.054342686,0.5,3,20191025
ors_or_rhf,dia_s_america_s,4,13,733,0.082881,0.5,3,20191025
ors_or_rhf,dia_wssa_e,4,11,1992,0.037474945,0.5,3,20191025
ors_or_rhf,dia_wssa_w,4,13,865,0.07961474,0.5,3,20191025
ors_or_rhf,ETH,4,10,307,0.017511088,0.5,3,20191025
rhf,COD,4,11,1675,0.005474597,0.5,3,20191025
rhf,dia_afr_horn-eth,4,14,7320,0.025177886,0.5,3,20191025
rhf,dia_s_america_n,4,13,440,0.033957759,0.5,3,20191025
rhf,dia_s_america_s,4,10,3964,0.046463541,0.5,3,20191025
rhf,dia_wssa_e,4,11,403,0.067218596,0.5,3,20191025
rhf,dia_wssa_w,4,13,7478,0.011682281,0.5,3,20191025
rhf,ETH,4,11,1168,0.004717903,0.5,3,20191025
ors,YEM,3,12,653,0.009578268,0.5,3,20191107
ors,dia_afr_horn-eth-yem,4,11,3536,0.02836425,0.5,3,20191107
ors_or_rhf,YEM,2,12,337,0.018916626,0.5,3,20191107
ors_or_rhf,dia_afr_horn-eth-yem,4,9,3133,0.043549505,0.5,3,20191107
rhf,YEM,4,12,293,0.011052807,0.5,3,20191107
rhf,dia_afr_horn-eth-yem,4,14,2938,0.045429781,0.5,3,20191107
